"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000120129",1509.18384448612,-3.69180476762707,0.264846474478573,-13.9394144282851,3.6492189031648e-44,7.51921554997106e-40
"ENSG00000123358",1412.08338029352,-4.7679252454408,0.353615698704832,-13.4833528683936,1.95993734863432e-41,1.346150302287e-37
"ENSG00000170345",2655.67856399149,-6.78311361788756,0.502775236077693,-13.4913439070801,1.75865347094901e-41,1.346150302287e-37
"ENSG00000153234",128.600874646743,-4.42531511827065,0.39135385329477,-11.3077080524808,1.20188066312039e-29,6.19118776589889e-26
"ENSG00000120738",1748.70922454188,-5.12107009286862,0.477663547911469,-10.7210820571508,8.10495283529135e-27,3.34005106342356e-23
"ENSG00000125740",954.364669514668,-8.10678789289321,0.781774889307244,-10.3697215192943,3.40515641415245e-25,1.16938746522685e-21
"ENSG00000142871",1198.72666436935,-3.18581448478691,0.310992237946408,-10.2440321527764,1.25878374730368e-24,3.70531987331319e-21
"ENSG00000171223",824.591260760052,-3.49026234079737,0.356036205552165,-9.80311071281202,1.09170766993956e-22,2.81182956738807e-19
"ENSG00000177606",1357.81908794404,-2.87151604861674,0.297199497905412,-9.66191419855844,4.37609428873123e-22,1.00188247577008e-18
"ENSG00000159388",1321.7488981634,-2.45901162869859,0.260892073539912,-9.42539800206852,4.28477450123415e-21,8.82877785979297e-18
"ENSG00000228662",20.981240301397,22.4042537521785,2.38721135653952,9.38511526882793,6.28476594303215e-21,1.17725092960161e-17
"ENSG00000162772",413.891530915385,-4.07842979815668,0.443972090379253,-9.18623014044143,4.06850128072619e-20,6.98595574078026e-17
"ENSG00000251705",232.150274296847,-4.15416383168941,0.454649631965394,-9.13706630253162,6.41694345928579e-20,1.0170855382968e-16
"ENSG00000128016",1515.62723934259,-3.06745950991599,0.370267180745933,-8.28444882351264,1.18657324320027e-16,1.74638154829583e-13
"ENSG00000130513",392.584780763669,-2.30929040181959,0.301754254248121,-7.65288432328363,1.96520683167865e-14,2.69953911778257e-11
"ENSG00000096060",6682.9075516869,3.81680303529334,0.499308381153585,7.64417978820049,2.10281418057708e-14,2.70803038692441e-11
"ENSG00000187479",230.54211417266,-2.09202410193035,0.283519503769177,-7.37876609587162,1.59763222215224e-13,1.93642423161452e-10
"ENSG00000143333",124.862113752629,-3.21370423609384,0.439859370770946,-7.30620841488758,2.74785856023929e-13,3.14553475742947e-10
"ENSG00000160888",959.783235380826,-1.86573672062646,0.25579907919325,-7.29375854874343,3.01425431093517e-13,3.26887947772732e-10
"ENSG00000090104",185.599087928818,-4.41025860470556,0.610562164557715,-7.22327530383463,5.07501240411685e-13,5.22853152934139e-10
"ENSG00000198695",52883.6504270026,1.97722352168461,0.283952089094644,6.96322935319409,3.32559734638323e-12,3.26304444391554e-09
"ENSG00000119508",43.0107907366087,-3.55287723432296,0.511289148829454,-6.94886101623108,3.6824710703932e-12,3.44896892752054e-09
"ENSG00000163611",150.081498205072,-0.527150282756526,0.0762547543931077,-6.91301528608913,4.74458798582737e-12,4.25053197599882e-09
"ENSG00000087074",459.252882290268,-1.490622502667,0.222497878360265,-6.69949086100233,2.09146947150575e-11,1.795613685849e-08
"ENSG00000146278",1203.14134543707,-0.612159554156109,0.0917344748542774,-6.67316791346482,2.50339678585709e-11,2.06329963090341e-08
"ENSG00000130522",773.186913390893,-1.31079868630666,0.19959705449951,-6.56722459954879,5.1261699124023e-11,4.06248965557882e-08
"ENSG00000179388",88.078117587938,-4.00728882509622,0.619519336455135,-6.46838377640602,9.90566612305818e-11,7.5594907579857e-08
"ENSG00000142973",80.7453737226301,3.30913178936949,0.517684336966266,6.39218062644443,1.63536550040226e-10,1.20345379056388e-07
"ENSG00000081041",35.5237024107401,-3.67488941109654,0.576258547937554,-6.37715383875706,1.80409220673022e-10,1.28183861791987e-07
"ENSG00000122877",95.3471849490867,-4.66585502022325,0.733096112099048,-6.36458841237566,1.95814104076762e-10,1.34491653816723e-07
"ENSG00000124440",362.199175157953,2.43051531306309,0.388747989243869,6.25216176112073,4.04809779874383e-10,2.69067919816505e-07
"ENSG00000142178",415.143997195639,-1.61845470217573,0.261449832949412,-6.19030688953964,6.00471911950268e-10,3.86647617054227e-07
"ENSG00000134107",1545.44774256163,-0.949494002638755,0.153635041569768,-6.18019166029631,6.40238264963812e-10,3.99760892411496e-07
"ENSG00000185650",3461.01332870147,-1.15507801569657,0.188327283298701,-6.13335463382931,8.60450427895121e-10,5.2145826666997e-07
"ENSG00000064999",847.705784031076,0.322626948193942,0.0532593720389962,6.05765587994008,1.38119474614107e-09,8.13129078406765e-07
"ENSG00000114315",506.124854366622,-1.32410826087202,0.225246954332385,-5.87847353939401,4.14066979273996e-09,2.36995836331686e-06
"ENSG00000184557",406.497381945189,-3.27603797197297,0.561744859144137,-5.83189666740213,5.48008540408516e-09,3.05181512841013e-06
"ENSG00000203814",7.99487308300272,-2.86107174666006,0.499104162450396,-5.73241411695181,9.90111717882453e-09,5.36875051235998e-06
"ENSG00000158050",29.7953512898551,-2.5019561615692,0.437107869061086,-5.72388725680788,1.04113856019236e-08,5.50068205968295e-06
"ENSG00000059804",221.97636742244,-2.20237547443058,0.392975552448386,-5.60435747391651,2.09028908992034e-08,1.07259448015936e-05
"ENSG00000073756",145.941733392905,-2.72510191292743,0.486560133741403,-5.60075050122328,2.13425739803609e-08,1.07259448015936e-05
"ENSG00000126709",2146.07915087495,3.2549545019931,0.583650601320648,5.57688880064201,2.44858278346164e-08,1.20126305364826e-05
"ENSG00000198786",128258.629385844,1.28435899806389,0.231061768917623,5.55850932882707,2.72088418215284e-08,1.30380973426184e-05
"ENSG00000125538",39.0465006462305,-3.91773457239031,0.707460699941376,-5.53774163386737,3.06396807221452e-08,1.43484232109046e-05
"ENSG00000136244",8.36533738653707,-3.73173101699517,0.686057377586391,-5.43938617805369,5.34644531926444e-08,2.4480779067432e-05
"ENSG00000109906",1361.14419202181,2.01955025339213,0.372808598344186,5.41712359200373,6.05654767431084e-08,2.71293836585163e-05
"ENSG00000216937",47.5418601815696,-0.682536513366493,0.126805916878854,-5.38252890847804,7.34465766924566e-08,3.21992917605972e-05
"ENSG00000159208",124.11455860678,1.41337937782202,0.263137420616926,5.37125952860808,7.81885837568935e-08,3.35640785064748e-05
"ENSG00000153208",523.366003529859,0.833767599066172,0.155768480031912,5.35260791461379,8.66955677822701e-08,3.64563709010954e-05
"ENSG00000101187",496.038800049457,2.22854961429664,0.422057243893411,5.28020700163471,1.29038018906073e-07,5.31765675911927e-05
"ENSG00000099860",511.309527310863,-1.20186871571608,0.22863935086328,-5.25661357582653,1.46732172974314e-07,5.86970492830736e-05
"ENSG00000147689",10.3327561865369,-1.55218909505925,0.295381224534867,-5.25486715516011,1.48131354657599e-07,5.86970492830736e-05
"ENSG00000176058",483.841713524643,0.665495388417327,0.127115546607534,5.23535795721375,1.64665419283117e-07,6.40175653646912e-05
"ENSG00000160179",468.218841937343,1.02534777564759,0.196138159386277,5.22768123681762,1.71649111376476e-07,6.54968507391164e-05
"ENSG00000108691",296.303778104209,-2.28725612685268,0.442269295555328,-5.17163671509397,2.32052398293112e-07,8.69352666696287e-05
"ENSG00000019549",332.754732149043,1.06474670611051,0.207239442583973,5.13776090513793,2.78031307565102e-07,0.000102300626649624
